unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_latlong,dropoff_latlong,pickup_community_area,dropoff_community_area
d15c5ec0-3d06-4e60-a13e-87fda9273c7b,874b25eb25690a1a0361023234f59edeee52101733a1ab8c9dc78c2a369cb4a37b4f1ec58a01db4305cc0f3b6a702c2c7788185321953dfdd03e9b7a854a457b,2020-11-22 11:30:00 UTC,2020-11-22 11:30:00 UTC,41.905857769,-87.630865027,41.907412816,-87.640901525,"41.905857769,-87.630865027","41.907412816,-87.640901525",8,8
8e25a977-5fb1-4bf0-b94e-7bd834e5697e,2b4bd3ac2b2acea1f6babf5043a743a308235faad57504ac2043eb09821de5d57500fc8c131499f08daf174767dd3b0776a65e8aeb5bf13fda7d5cb3954044f7,2020-11-22 12:00:00 UTC,2020-11-22 12:00:00 UTC,41.905857769,-87.630865027,41.904935302,-87.649907226,"41.905857769,-87.630865027","41.904935302,-87.649907226",8,8
728f533e-50a7-4e02-8562-c64b85821cbd,24e6a85093f4461600d2d0921a59ae14ea5457f60dd63b04d536dce31ca6ce3535b2021d45b000190b83f3d94738da46cd1504b7cd3433657a98590394440cb8,2020-11-22 12:15:00 UTC,2020-11-22 12:15:00 UTC,41.905857769,-87.630865027,41.904935302,-87.649907226,"41.905857769,-87.630865027","41.904935302,-87.649907226",8,8
ee6ec14d-925a-4218-9aad-1b89193302d6,9d69a11bc339eab6a17462295d8f4f5800a8157081ad55d8d27125d9d77edec7cde69b395c0c68ce7d3645c4fe12c8bde581970029cf747fe542ff3d7b54c0bd,2020-11-22 13:30:00 UTC,2020-11-22 13:45:00 UTC,41.905857769,-87.630865027,41.985472422,-87.653793529,"41.905857769,-87.630865027","41.985472422,-87.653793529",8,77
14249d58-3a94-4cf9-a0e3-ca78769d2a5a,eac1e8ed4de5b0b91a85beddcbdd819379b92da84f002cfb0b618386706ed801cff85f867b2d9c7af0e1c559b72e5d3976c0780fba7a4c466b52495440a64390,2020-11-22 20:00:00 UTC,2020-11-22 20:00:00 UTC,41.87101588,-87.631406525,41.859349715,-87.617358006,"41.87101588,-87.631406525","41.859349715,-87.617358006",32,33
57ba9bdc-d084-4c65-956f-5f72aebc4714,fbc032d9047aba1348486e8f2a4934257f9308801053a7bf8a0bccb50cd80978e416199ceb3f173c37b42fd502a075fa3a737f1c443c01b33dccc1320e48062e,2020-11-22 19:00:00 UTC,2020-11-22 19:30:00 UTC,41.87101588,-87.631406525,41.785998518,-87.750934289,"41.87101588,-87.631406525","41.785998518,-87.750934289",32,56
adb28907-d33d-47df-ad41-eeb2125654e0,2ff4fad54ffae9d505e55587c34111c2094a0a528736959a797e3fcc724c47ab454c1f1b6fb7b1aa4d01f10cde3315cba172c7b23251beec4c3acd1ec6bfc90f,2020-11-22 14:00:00 UTC,2020-11-22 14:15:00 UTC,41.87101588,-87.631406525,41.890922026,-87.618868355,"41.87101588,-87.631406525","41.890922026,-87.618868355",32,8
5f877b02-ba8e-44ba-8e16-eb6a04da7292,e87a78f14c8e468aaf2e79d9eed5a705b97780fb5f90a5b0e7de7c1190829d84c1e802f2bb53756a13528808df092e5ddb38ff42fdb23587782dbf5c0ab56133,2020-11-22 21:45:00 UTC,2020-11-22 22:00:00 UTC,41.87101588,-87.631406525,41.884987192,-87.620992913,"41.87101588,-87.631406525","41.884987192,-87.620992913",32,32
ae04774a-a67b-4caa-aa99-642d1130d4da,141074afe6aae95a4613cde037b5ed73011d4d19017b59d970600d380294700d5ef4a72d0e7b050b68e1138a6e7ab1ebd82768c68b4d18bcb116d3990afecab0,2020-11-22 15:00:00 UTC,2020-11-22 15:00:00 UTC,41.898331794,-87.620762865,41.934650448,-87.634647877,"41.898331794,-87.620762865","41.934650448,-87.634647877",8,6
5ce9f61f-d849-4ae5-a3b7-a092ea126813,8aecfdb7580531751986ac8c546262c4003fa885438ec0d838c2363f1564438d8b29145f3dea41aee5a1d1393f872d4e81e9e4f21d9194479dd1b1b26e4793f5,2020-11-22 20:30:00 UTC,2020-11-22 20:45:00 UTC,41.898331794,-87.620762865,41.90749193,-87.63576009,"41.898331794,-87.620762865","41.90749193,-87.63576009",8,8
c8ed77fe-e01f-4f29-a997-c63f0e1c8cb8,f7b3881bae139702c0198535ff8fd725cf0f3f958722040b90a9336fce73cdf71b2c5869886d429934fd52fc114cbaf40b0b3dadfe4bb67b19c9f9184bd99110,2020-11-22 19:30:00 UTC,2020-11-22 19:30:00 UTC,41.898331794,-87.620762865,41.89321636,-87.63784421,"41.898331794,-87.620762865","41.89321636,-87.63784421",8,8
c3c467ed-23d2-487f-8f6d-420b715d6a42,3458069fe0594320e14bd166052c7ecf56b09f4e706737621ee977a43ead5664e83708d3ddb723517a85957602517eead6142d7b3920f8c042e426f76799a924,2020-11-22 18:30:00 UTC,2020-11-22 19:00:00 UTC,41.898331794,-87.620762865,41.885300022,-87.642808466,"41.898331794,-87.620762865","41.885300022,-87.642808466",8,28
274e2851-86a9-47db-9548-07e18388801e,448b79c8a993f52092f096010a133bc43c78eb926f1acccd157396646fe256d90930644a473c62837b6fa03bd82b9ebbf9b4be7c45b4139f041abfecfa08c837,2020-11-22 20:45:00 UTC,2020-11-22 21:00:00 UTC,41.898331794,-87.620762865,41.88528132,-87.6572332,"41.898331794,-87.620762865","41.88528132,-87.6572332",8,28
eaef9988-000e-40cb-b005-680c1c1277e6,d3990b30cf39151c02a1fd95411768e41557a9c637a3ffb7aba96acda5acd81b69c4034e6c36f75e7e37bad3fb8e77fa03f315757e7f3b23200aa2516cc7db98,2020-11-22 20:15:00 UTC,2020-11-22 20:45:00 UTC,41.898331794,-87.620762865,41.906650766,-87.66533766,"41.898331794,-87.620762865","41.906650766,-87.66533766",8,24
6a61bbe8-0a4b-432f-ad4c-d408a345f7ce,b753b6afd94c77370e97976c023d2729fa586998733fb91e7f28cc4e1c61df444c2640f6ad6369935a800c70372f1b986b525261d0db025290ee03fbf4474050,2020-11-22 05:00:00 UTC,2020-11-22 05:30:00 UTC,41.898331794,-87.620762865,41.97907082,-87.903039661,"41.898331794,-87.620762865","41.97907082,-87.903039661",8,76
75198bc9-f713-49b2-b272-6fa75bcf8de0,92725f67f872c1d48d77ffa906f837c6a5f20f5a597a8d4215e726ce1cf53838a5bf436a6654129afae04315f50e736fc197f150b6772160c5f7f6a0e0e30017,2020-11-22 06:45:00 UTC,2020-11-22 07:15:00 UTC,41.898331794,-87.620762865,41.97907082,-87.903039661,"41.898331794,-87.620762865","41.97907082,-87.903039661",8,76
6cbc001b-67ad-4a39-96df-9529b1085ed2,a149c6df861b2eff6f27491e024e37d2c3705aa5399c316c0cb9b8d414ae1cda25b22c3d3dc2d2e4ae79c05c4567446f3245aac0a65e8703aa4ec31bc505ec0e,2020-11-22 10:00:00 UTC,2020-11-22 10:30:00 UTC,41.898331794,-87.620762865,41.97907082,-87.903039661,"41.898331794,-87.620762865","41.97907082,-87.903039661",8,76
4e0327f3-5632-4efa-bcdd-c806a5916678,0aaea64bf911ab90bb84533e204d8e1bb8a8d9bd19f727ad09cb7967cf3c578401a20c8fe2704932e671645744230248b442127c4630706bfe297f2f17e61710,2020-11-22 07:15:00 UTC,2020-11-22 08:00:00 UTC,41.898331794,-87.620762865,41.97907082,-87.903039661,"41.898331794,-87.620762865","41.97907082,-87.903039661",8,76
86c48469-8343-4437-8cc7-c5fa6e079dea,d645a947dabd328acad2dd5987f9714e3a79807204ce1faa919522113acdee6fe3cac687a6cb4ea47bf274bf4a97d9e856b764eac06198e3054b7ea63b2e5d84,2020-11-22 08:15:00 UTC,2020-11-22 08:30:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
7806366d-abc8-4634-ab3c-2c3364aeecac,4df2912dd50d4f329ca8bbdc29820405a25dab85dd752422ab4f51193fbccb1e163491a14d4cbb36adc4c8dfe78b8b50d2286555a61e45c8f29ea7828f9a8b90,2020-11-22 13:00:00 UTC,2020-11-22 13:15:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
fe27413f-dec5-4cf0-ab5a-394d6f4bcaaa,70cb1240018b057c63a669e4c31d12e04555b1b6e1e02de8bd8a5413929261876fcbc238a9f52791215ddb57cd07a3a0bb2ade6a2c67c854c914fcf87a29ce44,2020-11-22 09:15:00 UTC,2020-11-22 09:30:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
5cd9471b-166d-4e69-a0a2-bcf046a18d84,2a00de530e9af49b94a75fbc7fc1fba7805f70218cc64ce5bbe240560086eb574bf378ce76f985786eb1af074b78ca8c3481a84bf80c2226081c9638f6df2a54,2020-11-22 00:30:00 UTC,2020-11-22 00:45:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
17ae80d4-1c83-4f2f-ac16-659c6f765d5b,d1c482154d26c9e9d5fbdbe3a72a651d2aedb109cfb6f1e51b2d50f46b74c6c8935e5981cc3251f3f17291925cdfb484ea475c072fab445e65357e11ef9fe843,2020-11-22 12:45:00 UTC,2020-11-22 12:45:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
c863b4b7-05a2-47d9-81b6-c71afabfdbf1,14bbb3f71ff875f5301e793e0e401c6ad500a0c71f21ea157ee05d015518961ea4218ca65bd56d25b28216c4fd5acaec52f140eb38c25a44bf0404ec4f048cb8,2020-11-22 22:00:00 UTC,2020-11-22 22:00:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
1f004a06-99f9-4b59-a709-65e5fa9e209a,6b1e58381fb031270bec7b7ffb60c6ef85218aecb69082d978f2c84ff7f4bc29a1d5af025e7e9d5e643951eb5d793ee74254edcb1769ddcc1c1d61c95d46b43b,2020-11-22 11:00:00 UTC,2020-11-22 11:15:00 UTC,41.884987192,-87.620992913,41.859349715,-87.617358006,"41.884987192,-87.620992913","41.859349715,-87.617358006",32,33
e103395c-3ea8-4761-a65e-8c97e6edef50,38c926561cf2221a4785159e39aef376ef08ddb3c6081c4f3e7ab1263bb617d1d64c4dd73b1849f6142717c62eef2b4878937275a462df9028c63f581a03a4a4,2020-11-22 19:15:00 UTC,2020-11-22 19:30:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
29e27848-58dc-421c-8c16-26d9cfdcb3c8,0b8a006f4b69afc94a10a09d153b509374fc0371fd9118d656361c8d5f0333d5d6430444f6b7d45ec20e21428aa2d0206fa1e78627a3c9a973bcacf326e465be,2020-11-22 18:15:00 UTC,2020-11-22 18:30:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
03aab572-eb8f-431a-bf71-50ae74d547cd,ba5dc100786e9442b2bc17f725fe768ccea82bdfb2caa05fe907403b0bfd588a3eeb3a3abf1ef7698b15c8a77cb02e1d21f3367cc0fbfdcc936e596b98e13642,2020-11-22 07:15:00 UTC,2020-11-22 07:15:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
b1d0e163-4efd-40e2-9958-8d1d3548da2c,58aa10a7f2b6a94f691da25a3faeb0f8f2b3d369f13b0d9ab1c53a3b68334a0cbcff990a75f7bf72cdc2e408272ec063a42e29b2662e4e884aa907e7c5d88dd0,2020-11-22 17:30:00 UTC,2020-11-22 17:45:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
8dd40554-d071-4292-8c19-862e97d18e2d,eab5b3c1b36c34fd68a587df811846acd2d67eb019196b7e44dffc36342a6186d30fd1887435816a585e4faaa8fedf944ba8f63e6112afefea098211fdb5f39a,2020-11-22 19:45:00 UTC,2020-11-22 19:45:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
f064a35b-e5a4-4a17-9c4e-abf593351e67,671a9e17caefff3721c57f67824ddc316b2ce48cedc25dc88fae06fba78f7d4d6e2bf1972557d5f6ad5a968793646b7261bba9894fe43a796848d4eaa4878635,2020-11-22 16:45:00 UTC,2020-11-22 17:00:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
00336b5c-73da-4cbc-9771-780e16181fe0,df6cb082a40e3306b18aad2e576da27b3b0cc855002ce982058ae4576703d9ac3bcbdfe38937a23ef1d23ce1130e5ff7d1139ad350f0897e1b76fb738ba81218,2020-11-22 10:15:00 UTC,2020-11-22 10:30:00 UTC,41.884987192,-87.620992913,41.879255084,-87.642648998,"41.884987192,-87.620992913","41.879255084,-87.642648998",32,28
8d49772f-cff9-4bb4-b3ae-3db28adecbb2,061388982993682b5a6db1167ce78e3f854a3eedb5cb00f2f463fa93c3573432db6791aa78e44e655cacab707526975bfcd22387c096051d5fab85e9c5d2ea9c,2020-11-22 21:00:00 UTC,2020-11-22 21:15:00 UTC,41.884987192,-87.620992913,41.949829346,-87.64396537,"41.884987192,-87.620992913","41.949829346,-87.64396537",32,6
3e80693f-fc8b-4d84-bb68-67d0e0b08032,fbdfc1bdf8477e6043d2012f98283fdbc6212192a065ab74139d395474c9b457a155bb187a5d8887a68a7f1aaedd46a0e845314554f731c473c3f1a183c09b47,2020-11-22 00:45:00 UTC,2020-11-22 01:00:00 UTC,41.884987192,-87.620992913,41.942577185,-87.647078509,"41.884987192,-87.620992913","41.942577185,-87.647078509",32,6
